20.805, 42881
23.062, 51664
25.693, 60595
28.771, 72031
32.054, 85627
35.711, 1.0179e+5
39.857, 1.2130e+5
44.552, 1.4301e+5
49.707, 1.6477e+5
55.197, 1.8786e+5
60.682, 2.1302e+5
65.863, 2.3865e+5
73.359, 2.7640e+5
81.654, 3.1046e+5
90.887, 3.5141e+5
99.405, 3.8870e+5
108.97, 4.3066e+5
120.57, 4.7879e+5
135.25, 5.2996e+5
150.90, 5.8692e+5
163.59, 6.3404e+5
194.14, 7.2809e+5
214.34, 7.8143e+5
238.36, 8.3417e+5
261.42, 8.7497e+5
286.72, 9.2357e+5
321.04, 9.9734e+5
355.23, 1.0688e+6
389.59, 1.1036e+6
427.29, 1.1257e+6
475.17, 1.1497e+6
521.14, 1.1827e+6
571.56, 1.2063e+6
632.24, 1.1754e+6
717.68, 1.1160e+6
802.90, 1.1016e+6
901.99, 1.0780e+6
1014.2, 1.0285e+6
1127.9, 9.5057e+5
1237.0, 8.9907e+5
1349.8, 8.3177e+5
1496.2, 7.4050e+5
1644.9, 6.4573e+5
1789.6, 5.4996e+5
1968.4, 4.9089e+5
2193.0, 4.1295e+5
2443.3, 3.4872e+5
2713.3, 2.7626e+5
2997.9, 2.1640e+5
3282.9, 1.6315e+5
3554.8, 1.1439e+5
3931.2, 88810
4371.2, 66640
4789.7, 49562
5141.4, 37084
5408.9, 25972
