46.982, 73924
48.368, 1.2030e+5
49.796, 1.9132e+5
51.266, 2.9223e+5
52.779, 4.3871e+5
54.564, 6.3349e+5
57.116, 9.3070e+5
60.822, 1.4032e+6
65.240, 1.9451e+6
71.486, 2.5650e+6
78.330, 3.0587e+6
85.829, 3.2317e+6
94.047, 3.1416e+6
102.77, 2.7554e+6
112.92, 2.3269e+6
123.73, 2.0455e+6
135.57, 2.0616e+6
148.55, 2.4778e+6
162.77, 3.2014e+6
178.36, 3.8842e+6
195.44, 4.2683e+6
214.15, 4.0845e+6
234.65, 3.4145e+6
256.05, 2.5326e+6
275.94, 1.7493e+6
293.68, 1.1856e+6
309.99, 8.1281e+5
323.14, 5.2604e+5
332.68, 3.4045e+5
338.26, 2.1408e+5
