33.000, 324.64
36.159, 375.73
39.621, 432.15
43.414, 498.60
47.571, 568.07
52.125, 642.17
57.116, 731.65
62.584, 844.16
68.576, 972.43
75.141, 1092.4
82.335, 1202.3
90.218, 1327.4
98.856, 1488.8
108.32, 1669.8
118.69, 1849.5
130.05, 2019.6
142.51, 2202.0
156.15, 2423.6
171.10, 2675.8
187.48, 2908.3
205.43, 3106.7
225.10, 3324.0
246.65, 3523.0
270.26, 3739.8
296.14, 3970.0
324.49, 4287.9
355.55, 4594.9
389.59, 4801.6
426.89, 4962.8
467.77, 5129.3
512.55, 5318.1
561.62, 5427.9
615.39, 5402.4
674.31, 5293.1
738.87, 5202.4
809.60, 5105.2
887.12, 4978.4
972.05, 4916.2
1065.1, 4809.2
1167.1, 4623.9
1278.8, 4376.4
1401.3, 3982.5
1535.4, 3629.8
1682.4, 3156.0
1843.5, 2735.4
2020.0, 2473.6
2213.4, 2140.6
2425.3, 1884.7
2657.5, 1597.9
2911.9, 1296.5
3190.7, 1022.6
3496.2, 702.36
3830.9, 547.04
4197.7, 467.48
4599.5, 368.71
4875.1, 316.08
